metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,dtd,30,top_right,bottom_right,1926,17.571983,17.82808,-0.256097,2.678375,-4.1962,1925,2.8371804494460436e-05,0.0002837180449446044,-0.0956,True,True
psnr,True,dtd,30,center,bottom_left,1926,19.47409,17.896477,1.577613,2.57582,26.879,1925,2.1335850549370746e-135,2.1335850549370745e-134,0.6125,True,True
psnr,True,dtd,30,center,bottom_right,1926,19.47409,17.82808,1.64601,2.727758,26.4822,1925,4.897540423434692e-132,4.897540423434692e-131,0.6034,True,True
psnr,True,dtd,30,bottom_left,bottom_right,1926,17.896477,17.82808,0.068397,2.2648,1.3254,1925,0.1852089417590975,1.0,0.0302,False,False
psnr,True,dtd,40,top_left,top_right,1926,17.015047,17.263511,-0.248465,1.942118,-5.6146,1925,2.256791997631417e-08,2.2567919976314172e-07,-0.1279,True,True
psnr,True,dtd,40,top_left,center,1926,17.015047,19.116064,-2.101017,2.494036,-36.9705,1925,1.5247957024316462e-226,1.524795702431646e-225,-0.8424,True,True
psnr,True,dtd,40,top_left,bottom_left,1926,17.015047,17.494608,-0.479561,1.903237,-11.0581,1925,1.3318300316085793e-27,1.3318300316085793e-26,-0.252,True,True
psnr,True,dtd,40,top_left,bottom_right,1926,17.015047,17.406597,-0.39155,2.151078,-7.9884,1925,2.33119338131053e-15,2.3311933813105298e-14,-0.182,True,True
psnr,True,dtd,40,top_right,center,1926,17.263511,19.116064,-1.852552,2.586192,-31.4368,1925,1.9592085832583194e-175,1.9592085832583193e-174,-0.7163,True,True
psnr,True,dtd,40,top_right,bottom_left,1926,17.263511,17.494608,-0.231096,2.186729,-4.638,1925,3.7555212600919644e-06,3.7555212600919646e-05,-0.1057,True,True
psnr,True,dtd,40,top_right,bottom_right,1926,17.263511,17.406597,-0.143085,2.169753,-2.8941,1925,0.0038452927134526404,0.0384529271345264,-0.0659,True,False
psnr,True,dtd,40,center,bottom_left,1926,19.116064,17.494608,1.621456,2.286573,31.1206,1925,1.3880837835782262e-172,1.3880837835782262e-171,0.7091,True,True
psnr,True,dtd,40,center,bottom_right,1926,19.116064,17.406597,1.709467,2.464435,30.4419,1925,1.6954189510965125e-166,1.6954189510965124e-165,0.6937,True,True
psnr,True,dtd,40,bottom_left,bottom_right,1926,17.494608,17.406597,0.088011,1.851959,2.0856,1925,0.037145301459329906,0.37145301459329905,0.0475,False,False
